SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-N7MS-0007-SM-26GME  ,   C1  ,  8.2  ,  Blood  ,  Whole
GTEX-N7MS-0007-SM-26GMV  ,   C1  ,  8.2  ,  Blood  ,  Whole
GTEX-N7MS-0007-SM-2D43E  ,   C1  ,  8.2  ,  Blood  ,  Whole
GTEX-N7MS-0007-SM-2D7W1  ,   C1  ,  8.2  ,  Blood  ,  Whole
GTEX-N7MS-0009-SM-2BWY4  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-N7MS-0009-SM-2XK1D  ,   C1  ,  Blood  ,  Whole  ,  Blood
GTEX-N7MS-0011-R10A-SM-2HMJK  ,   C1,  ,  A1  ,  7.1  ,  Brain
GTEX-N7MS-0011-R10A-SM-2IZJW  ,   C1,  ,  A1  ,  7.1  ,  Brain
GTEX-N7MS-0011-R11A-SM-2HMJS  ,   C1,  ,  A1  ,  6.6  ,  Brain
GTEX-N7MS-0011-R11A-SM-2IZJZ  ,   C1,  ,  A1  ,  6.6  ,  Brain
GTEX-N7MS-0011-R1a-SM-2AXVJ  ,   C1,  ,  A1  ,  7.3  ,  Brain
GTEX-N7MS-0011-R1a-SM-2HMJG  ,   C1,  ,  A1  ,  7.3  ,  Brain
GTEX-N7MS-0011-R2a-SM-2HML6  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-N7MS-0011-R2a-SM-2IZK7  ,   C1,  ,  A1  ,  7  ,  Brain
GTEX-N7MS-0011-R3a-SM-2AXVU  ,   C1,  ,  A1  ,  7.6  ,  Brain
GTEX-N7MS-0011-R3a-SM-2HMKD  ,   C1,  ,  A1  ,  7.6  ,  Brain
GTEX-N7MS-0011-R3a-SM-33HC6  ,   C1,  ,  A1  ,  7.6  ,  Brain
GTEX-N7MS-0011-R4a-SM-2AXW2  ,   C1,  ,  A1  ,  6.2  ,  Brain
GTEX-N7MS-0011-R4a-SM-2HMKW  ,   C1,  ,  A1  ,  6.2  ,  Brain
GTEX-N7MS-0011-R5a-SM-2AXW7  ,   C1,  ,  A1  ,  7.8  ,  Brain
GTEX-N7MS-0011-R5a-SM-2HMK8  ,   C1,  ,  A1  ,  7.8  ,  Brain
GTEX-N7MS-0011-R6a-SM-2AXWD  ,   C1,  ,  A1  ,  7.6  ,  Brain
GTEX-N7MS-0011-R6a-SM-2HMJ4  ,   C1,  ,  A1  ,  7.6  ,  Brain
GTEX-N7MS-0011-R7a-SM-2AXV5  ,   C1,  ,  A1  ,  6.4  ,  Brain
GTEX-N7MS-0011-R7a-SM-2HMKN  ,   C1,  ,  A1  ,  6.4  ,  Brain
GTEX-N7MS-0011-R8a-SM-2AXVD  ,   C1,  ,  A1  ,  6.8  ,  Brain
GTEX-N7MS-0011-R8a-SM-2YUMK  ,   C1,  ,  A1  ,  6.8  ,  Brain
GTEX-N7MS-0126-SM-3TW8O  ,   3  ,  C1  ,  OK  ,  9.1
